	頁數	婦產科醫生	診所地區	專頁	留言日期	求診原因	主題	評價
0	1	"馮家驃醫生
                                            Dr. FUNG KA PIU, CHARLES
                                    

婦產科
男
銅鑼灣 

好評(1)"	"<span class=""area"">銅鑼灣 </span>"	https://www.goodoctor.com.hk/doctor/detail/7193/%E9%A6%AE%E5%AE%B6%E9%A9%83-FUNG-KA-PIU,-CHARLES	"<span class=""num-family-12px vertical-align-m"">24-08-2021</span>"	"<span class=""reason-text"">子宮內膜異位</span>"	"<span class=""title-s"">出血</span>"	"<div class=""comment-content""><p><p><span style='font-family: 微软雅黑, ""Microsoft YaHei""; font-size: 18px; color: rgb(89, 89, 89);'>由开始做檢查子宫，馮医生發觉有问题馬上要求做刮宫驗証，好彩找到问题所在。所以也好快的安排做了子宫，卵巢，輸卵管全切除手术，手术非常好，傷口不痛，手术后第三天已经可以落床，好專业．</span></p></p></div>"
2	1	"羅趙豐醫生
                                            Dr. LAW CHIU FUNG
                                    

婦產科
男
銅鑼灣 

好評(2)"	"<span class=""area"">銅鑼灣 </span>"	https://www.goodoctor.com.hk/doctor/detail/12532/%E7%BE%85%E8%B6%99%E8%B1%90-LAW-CHIU-FUNG	"<span class=""num-family-12px vertical-align-m"">19-06-2021</span>"	"<span class=""reason-text"">婦科檢查</span>"	"<span class=""title-s"">子宮肌瘤</span>"	"<div class=""comment-content""><p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>喺5月初搵羅醫生檢查子宮肌瘤，經超聲波檢查証實都頗大，之後商討如何做手術，術後之類情況解釋得詳盡，診斷時亦相當細心有耐性，說話風趣幽默不會令人有不安感或緊張，好耐都冇遇到一位好醫生，姑娘方面亦有禮親切。<br><br/></br></span></p></p></div>"
3	1	"方秀儀醫生
                                            Dr. Fong Sau Yee
                                    

婦產科
女
尖沙咀 

好評(7)"	"<span class=""area"">尖沙咀 </span>"	https://www.goodoctor.com.hk/doctor/detail/14908/%E6%96%B9%E7%A7%80%E5%84%80-Fong-Sau-Yee	"<span class=""num-family-12px vertical-align-m"">15-06-2021</span>"	"<span class=""reason-text"">婦科檢查</span>"	"<span class=""title-s"">婦科檢查</span>"	"<div class=""comment-content""><p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>第一次去方醫生，好細心，收費合理。</span></p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>全程沒不適。</span></p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>講解好詳盡。</span></p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>姑娘都好好人。</span></p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>下次會再去。<br/></span><br/></p></p></div>"
4	1	"陳耀敏醫生
                                            Dr. Chan Yiu Man Olivia
                                    

婦產科
女
旺角 

好評(9)"	"<span class=""area"">旺角 </span>"	https://www.goodoctor.com.hk/doctor/detail/15583/%E9%99%B3%E8%80%80%E6%95%8F-Chan-Yiu-Man-Olivia	"<span class=""num-family-12px vertical-align-m"">27-04-2021</span>"	"<span class=""reason-text"">子宮內膜異位</span>"	"<span class=""title-s"">微創切子宮水瘤及刮宮</span>"	"<div class=""comment-content""><p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>我查看自己醫療網絡內有什麼醫生，再細閱陳醫生評價，之後再預約做檢查。過程中陳醫生很細心及詳細解釋我的擔心及疑問。到造手術前也跟我說說話，令我放鬆心情。手術第二日，只是傷口有輕微痛，我還可以落床走動，証明陳醫生手勢很好</span><br><br/></br></p></p></div>"
5	1	"李達財醫生
                                            Dr. LEE TAT CHOI, ERIC
                                    

婦產科
男
中環 

好評(1)"	"<span class=""area"">中環 </span>"	https://www.goodoctor.com.hk/doctor/detail/7158/%E6%9D%8E%E9%81%94%E8%B2%A1-LEE-TAT-CHOI,-ERIC	"<span class=""num-family-12px vertical-align-m"">31-03-2021</span>"	"<span class=""reason-text"">婦科檢查</span>"	"<span class=""title-s"">遇到一位極好的婦科醫生</span>"	"<div class=""comment-content""><p><p><span style='font-size: 18px; font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(89, 89, 89);'>很難遇到一位專業細心的婦科醫生，慶幸自己終於遇到。李醫生是一位極具經驗的醫生，對所有問題均細心詳細回答，明白病人的感受，值得一讚。</span></p></p></div>"
7	1	"吳卓謙醫生
                                            Dr. Ng Cheuk Him, Raymond
                                    

婦產科
男
上環 

好評(3)"	"<span class=""area"">上環 </span>"	https://www.goodoctor.com.hk/doctor/detail/9889/%E5%90%B3%E5%8D%93%E8%AC%99-Ng-Cheuk-Him,-Raymond	"<span class=""num-family-12px vertical-align-m"">14-01-2021</span>"	"<span class=""reason-text"">白帶異常</span>"	"<span class=""title-s"">白帶異常</span>"	"<div class=""comment-content""><p><p>第一次睇婦科，朋友介紹的，係個幾細心的伯伯，知道我第一次睇，唔係好識，做咩之前都同我解釋清楚 等我冇敢緊張，唔會令我有尷尬的感覺。本身要做2個檢查的，但做基本檢查個時，醫生話我個情況其中一個檢查唔曬做住，FEEL 到係向病人出發，而唔係好似出面D人講其他醫生，有理冇理都做左一堆檢查先。感覺良好，會介紹朋友<br/></p></p></div>"
8	2	"吳卓謙醫生
                                            Dr. Ng Cheuk Him, Raymond
                                    

婦產科
男
上環 

好評(3)"	"<span class=""area"">上環 </span>"	https://www.goodoctor.com.hk/doctor/detail/9889/%E5%90%B3%E5%8D%93%E8%AC%99-Ng-Cheuk-Him,-Raymond	"<span class=""num-family-12px vertical-align-m"">07-01-2021</span>"	"<span class=""reason-text"">陰道炎</span>"	"<span class=""title-s"">唔打唔撞都搵到好醫生</span>"	"<div class=""comment-content""><p><p>哩2日小便多左，有D痕，唔舒服，怕係尿道炎翻發，立即上網睇到公司附近有婦科醫生，唔理 3 7 廿十一就沖左上去睇，專科一向都係要BOOK先有得睇的，但姑娘都好好人，問醫生可唔可以睇埋我先LUNCH，醫生檢查耐心，沒令到我有不適感，之後有同我講解番個成因，同之後要注意的事頂，俾到我安心的感覺，平時的我一定會約女醫生，不過經過今次，我會推薦哩個醫生俾身邊朋友。<br/></p></p></div>"
9	2	"鄧曉彤醫生
                                            Dr. Tang Hiu Tung Helen
                                    

婦產科
女
中環 

好評(5)"	"<span class=""area"">中環 </span>"	https://www.goodoctor.com.hk/doctor/detail/15110/%E9%84%A7%E6%9B%89%E5%BD%A4-Tang-Hiu-Tung-Helen	"<span class=""num-family-12px vertical-align-m"">02-01-2021</span>"	"<span class=""reason-text"">驗身報告跟進</span>"	"<span class=""title-s"">有善專業</span>"	"<div class=""comment-content""><p><p><span style='font-family: 微软雅黑, ""Microsoft YaHei""; font-size: 18px;'>鄧醫生非常有善，即使作為丈夫的我陪診亦不會覺得尷尬。耐心地聽取我們的提問，解答也很詳盡。就住太太的情況也會轉介其他專科醫生跟進。</span></p><p><br/></p><p><span style='font-family: 微软雅黑, ""Microsoft YaHei""; font-size: 18px;'>意見忠肯</span></p></p></div>"
10	2	"李綺雯醫生
                                            Dr. LEE YEE MAN, HELEN
                                    

婦產科
女
旺角 

好評(1)"	"<span class=""area"">旺角 </span>"	https://www.goodoctor.com.hk/doctor/detail/7347/%E6%9D%8E%E7%B6%BA%E9%9B%AF-LEE-YEE-MAN,-HELEN	"<span class=""num-family-12px vertical-align-m"">28-12-2020</span>"	"<span class=""reason-text"">婦科</span>"	"<span class=""title-s"">多謝李醫生</span>"	"<div class=""comment-content""><p><p><span style='color: rgb(89, 89, 89); font-family: 微软雅黑, ""Microsoft YaHei""; font-size: 16px;'>本人因為經痛唔舒服，所以去看醫生，但又想看女醫生同事便介紹李醫生给我。</span></p><p><span style='color: rgb(89, 89, 89); font-family: 微软雅黑, ""Microsoft YaHei""; font-size: 16px;'>她很耐性解釋及幫我檢查，所以我很安心。</span></p><p><span style='color: rgb(89, 89, 89); font-family: 微软雅黑, ""Microsoft YaHei""; font-size: 16px;'>如有相同病歷，可找李醫生查一下。</span></p><p><br/></p></p></div>"
12	2	"黃建新醫生
                                            Dr. WONG KIN SUN
                                    

婦產科
男
佐敦 

好評(6)"	"<span class=""area"">佐敦 </span>"	https://www.goodoctor.com.hk/doctor/detail/7225/%E9%BB%83%E5%BB%BA%E6%96%B0-WONG-KIN-SUN	"<span class=""num-family-12px vertical-align-m"">15-10-2020</span>"	"<span class=""reason-text"">子宮異常出血及割息肉</span>"	"<span class=""title-s"">值得推薦及信賴的黃建新醫生</span>"	"<div class=""comment-content""><p><p><span style='color: rgb(89, 89, 89); font-family: 微软雅黑, ""Microsoft YaHei"";'>9月初到公立醫院婦科覆診，因子宮異常出血，醫生建議我尋求多一位的私家婦科醫生意見，經好友介紹找了黃建新醫生，他檢查專業及很快找出我有息肉，檢查過程不會有唔舒服的感覺，並很快以畫圖解釋我的情況。及後也很快安排我入院做切除息肉及宮腔鏡檢查，黃醫生很專業，臨入手術室前，再次向我講解是次的手術情況，讓我明白，黃醫生手勢很好，手術後我沒有痛的感覺，本人是第一次做手術及全身麻醉，但我恢復比我預期理想，在此感謝黃醫生</span></p></p></div>"
13	2	"黃建新醫生
                                            Dr. WONG KIN SUN
                                    

婦產科
男
佐敦 

好評(6)"	"<span class=""area"">佐敦 </span>"	https://www.goodoctor.com.hk/doctor/detail/7225/%E9%BB%83%E5%BB%BA%E6%96%B0-WONG-KIN-SUN	"<span class=""num-family-12px vertical-align-m"">13-10-2020</span>"	"<span class=""reason-text"">子宮異常出血及切除息肉</span>"	"<span class=""title-s"">值得推薦的好醫生黃建新醫生</span>"	"<div class=""comment-content""><p><p><span style='color: rgb(89, 89, 89); font-family: 微软雅黑, ""Microsoft YaHei"";'>經過黃醫生檢查後，發現息肉由子宮突出。及後安排做手術切除息肉。做手術當晚，黃醫生已經在手術室準備，再次詳細確認資料及講解，他手勢很好</span></p></p></div>"
14	2	"鄧曉彤醫生
                                            Dr. Tang Hiu Tung Helen
                                    

婦產科
女
中環 

好評(5)"	"<span class=""area"">中環 </span>"	https://www.goodoctor.com.hk/doctor/detail/15110/%E9%84%A7%E6%9B%89%E5%BD%A4-Tang-Hiu-Tung-Helen	"<span class=""num-family-12px vertical-align-m"">12-09-2020</span>"	"<span class=""reason-text"">陰道炎</span>"	"<span class=""title-s"">心善美的醫生</span>"	"<div class=""comment-content""><p><p><span style='font-family: 微软雅黑, ""Microsoft YaHei""; color: rgb(127, 127, 127);'>2019年開始腹痛，多次在其他門診睇症，未能對症下藥，病情一拖再拖，直至第一次見鄧醫生，竟然一次可以根治陰道炎，腹痛等問題，態度非常友善，不厭其煩地多次回答我問題，一位值得信賴，心善美的醫生</span></p></p></div>"
